Year;Country;Region;Crop_Type;Average_Temperature_C;Total_Precipitation_mm;CO2_Emissions_MT;Crop_Yield_MT_per_HA;Extreme_Weather_Events;Irrigation_Access_%;Pesticide_Use_KG_per_HA;Fertilizer_Use_KG_per_HA;Soil_Health_Index;Adaptation_Strategies;Economic_Impact_Million_USD
2016;China;North;Vegetables;12.31;2378.44;22.96;1.9800000000000002;2;81.61;45.62;80.33;33.34;Drought-resistant Crops;691.36
2024;Russia;Volga;Fruits;5.27;374.45;1.19;2.133;4;76.17;6.37;42.18;44.72;Organic Farming;416.92
2024;Australia;Queensland;Rice;8.2;1609.77;26.1;1.2240000000000002;2;96.17;2.3;75.05;53.16;Water Management;386.36
2020;Australia;Western Australia;Sugarcane;18.35;2990.14;17.12;3.6;5;68.26;11.98;95.2;50.92;Drought-resistant Crops;522.17
2016;China;Central;Rice;11.14;2275.55;29.1;3.654;5;13.46;3.86;18.92;60.68;Crop Rotation;1218.48
2020;Nigeria;South East;Coffee;8.91;1829.47;22.03;1.143;5;71.59;27.74;5.31;30.69;Water Management;414.86
2014;Australia;Victoria;Vegetables;25.8;735.43;15.36;1.9800000000000002;10;37.74;5.23;24.76;36.99;Drought-resistant Crops;791.8
2020;China;East;Barley;5.72;1381.47;26.98;1.098;2;89.66;4.13;89.57;94.3;Crop Rotation;488.27
2020;China;North;Sugarcane;3.74;2757.34;24.7;2.025;7;37.56;32.7;2.38;99.28;No Adaptation;835.28
2024;USA;Northeast;Barley;5.21;554.49;17.3;1.4669999999999999;4;88.16;42.64;16.62;93.33;Water Management;343.46
2022;Nigeria;North Central;Corn;14.32;1339.62;21.6;4.437;3;53.12;29.09;78.47;55.85;Organic Farming;2116.89
2022;Nigeria;North Central;Coffee;-2.85;2297.04;1.37;2.16;5;77.76;17.39;43.45;74.34;Organic Farming;333.96
2020;Nigeria;North Central;Sugarcane;18.6;237.57;23.62;4.482;2;38.15;15.54;74.11;70.53;No Adaptation;586.4
2020;USA;South;Wheat;24.99;2154.38;15.91;774;10;24.04;41.97;29.09;42.67;Organic Farming;287.05
2024;USA;Northeast;Fruits;11.2;2647.11;16.28;3.222;9;34.95;34.81;87.34;68.9;Water Management;1096.98
2016;Australia;New South Wales;Coffee;23.68;1573.76;16.14;1.665;2;69.41;7.89;35.47;56.84;Water Management;408.62
2014;Australia;Western Australia;Barley;0.71;1917.96;10.82;0.75;5;73.0;9.14;84.19;68.04;No Adaptation;182.94
2016;China;South;Fruits;12.74;536.52;1.92;3.99;1;64.12;18.47;82.63;80.03;Crop Rotation;1466.17
2022;China;East;Rice;-4.36;2737.03;23.84;1.764;4;67.88;12.56;70.86;33.67;Crop Rotation;872.73
2024;Nigeria;South East;Coffee;24.81;1723.91;5.87;0.92;0;30.66;27.73;98.17;65.8;Crop Rotation;237.43
2014;Brazil;Northeast;Corn;22.3;1043.98;7.75;1.49;1;14.68;45.84;23.12;32.07;No Adaptation;200.12
2020;China;East;Coffee;9.05;999.94;7.17;2.64;6;39.7;16.97;21.25;67.43;No Adaptation;299.66
2018;Australia;Queensland;Rice;34.83;606.55;20.19;3.15;8;92.43;46.44;35.86;82.04;No Adaptation;499.92
2024;Brazil;Southeast;Barley;26.91;1618.59;23.4;1.395;6;14.46;16.64;93.64;66.1;Crop Rotation;229.93
2014;Russia;Siberian;Vegetables;25.82;542.18;8.97;1.51;2;86.06;32.66;92.11;70.91;No Adaptation;717.61
2020;Brazil;South;Rice;15.02;1327.56;8.37;4.5;7;43.12;14.17;74.9;45.01;No Adaptation;1998.47
2016;Brazil;Northeast;Wheat;14.85;2172.68;13.53;3.92;0;18.74;28.29;57.27;70.63;No Adaptation;1676.44
2016;USA;Northeast;Fruits;28.38;1918.25;13.56;1.25;8;66.66;18.59;1.94;69.64;Drought-resistant Crops;408.12
2016;Brazil;Southeast;Soybeans;2.47;530.53;1.58;1.98;0;73.21;10.08;16.6;59.88;Water Management;584.92
2018;USA;Northeast;Wheat;-2.39;1662.98;3.45;1.29;2;44.76;19.75;36.23;94.76;Crop Rotation;162.09
2020;Russia;Volga;Sugarcane;30.59;2783.48;26.17;2.106;9;45.59;16.53;93.85;43.38;Drought-resistant Crops;1032.35
2024;Russia;Northwestern;Coffee;27.04;1520.08;11.59;2.31;10;83.63;6.84;39.7;85.23;Crop Rotation;303.58
2024;Russia;Volga;Barley;22.09;1837.32;17.6;2.421;3;40.41;39.4;21.62;34.91;Crop Rotation;577.74
2020;China;Central;Coffee;-0.42;2258.71;21.42;549;6;98.32;19.76;75.4;57.37;Organic Farming;60.23
2020;Nigeria;South East;Vegetables;24.01;2667.3;21.98;3.0690000000000004;0;57.26;15.15;7.06;61.27;Organic Farming;807.08
2018;China;Central;Corn;-0.33;2965.94;8.56;0.73;6;50.02;32.32;52.26;43.99;Crop Rotation;255.3
2016;Nigeria;South East;Corn;7.34;879.77;6.87;1.2;4;68.48;19.23;28.09;56.71;Drought-resistant Crops;533.64
2024;Brazil;Northeast;Wheat;17.4;450.84;1.47;4.401;2;66.74;22.59;29.86;91.68;No Adaptation;481.49
2020;USA;Midwest;Rice;4.66;630.53;8.77;1.65;9;32.22;46.08;78.47;60.68;Water Management;199.62
2024;Australia;Queensland;Vegetables;8.67;2363.56;19.39;1.629;7;42.89;35.59;32.38;73.74;Crop Rotation;578.45
2018;Russia;Siberian;Rice;18.18;1881.44;19.32;3.303;0;49.07;1.87;47.22;70.43;Organic Farming;700.84
2020;China;East;Vegetables;13.85;1643.19;12.73;3.43;0;93.72;4.98;30.61;44.18;Crop Rotation;802.9
2018;Australia;New South Wales;Sugarcane;33.16;826.8;23.71;2.286;2;69.03;23.87;17.8;33.07;Water Management;712.95
2024;Australia;Victoria;Vegetables;12.83;362.02;1.1;2.43;6;40.43;11.47;29.23;95.31;Crop Rotation;734.58
2020;China;South;Coffee;12.98;252.42;23.64;1.836;3;61.37;21.4;85.84;76.05;No Adaptation;757.98
2024;Australia;Victoria;Rice;27.19;531.93;19.76;2.475;4;96.79;0.79;79.01;87.6;No Adaptation;539.57
2024;Nigeria;South East;Rice;20.49;2854.67;5.16;1.48;7;31.6;4.89;16.54;50.17;Water Management;434.8
2022;USA;South;Sugarcane;9.06;204.89;23.68;1.845;4;79.33;32.95;96.84;38.75;No Adaptation;901.31
2018;Brazil;North;Vegetables;19.46;2772.97;3.69;1.75;8;97.42;19.51;64.59;97.73;No Adaptation;216.97
2018;Nigeria;South East;Vegetables;24.51;1066.04;14.56;3.53;7;71.94;46.07;10.27;36.5;Organic Farming;414.67
2018;Russia;Siberian;Cotton;30.41;2515.68;14.08;2.6;9;57.75;19.2;4.4;46.03;Crop Rotation;440.56
2022;China;East;Wheat;-0.33;1478.74;9.55;0.57;2;36.9;49.99;77.22;88.87;Crop Rotation;148.75
2020;China;North;Fruits;29.14;1669.05;24.17;2.4480000000000004;2;55.35;10.44;41.7;78.02;Water Management;1060.77
2018;Brazil;North;Corn;2.83;2647.85;8.95;0.71;8;37.23;19.39;42.02;81.11;No Adaptation;112.05
2020;Nigeria;South West;Corn;25.66;2212.03;27.86;2.61;5;15.58;49.77;15.21;92.06;No Adaptation;643.72
2018;China;North;Coffee;20.93;371.19;13.46;2.4480000000000004;4;47.01;42.56;7.57;53.7;Crop Rotation;598.91
2020;Australia;Queensland;Corn;22.18;862.86;5.27;1.13;9;76.0;5.86;42.27;80.0;Crop Rotation;378.5
2018;Australia;Victoria;Coffee;17.46;2750.05;9.97;2.54;8;83.62;14.74;20.28;50.36;Drought-resistant Crops;395.55
2024;Russia;Northwestern;Fruits;34.17;2767.86;22.94;2.637;2;32.42;29.77;41.1;87.36;Drought-resistant Crops;1280.13
2022;Australia;Queensland;Soybeans;31.64;2941.85;14.13;1.6;7;40.79;9.33;71.99;39.69;Water Management;326.49
2014;Nigeria;South West;Fruits;26.04;2138.14;4.5;1.91;1;62.56;46.01;74.03;46.42;Crop Rotation;627.39
2020;Australia;Victoria;Vegetables;-0.78;1577.21;7.21;1.09;1;71.91;23.9;59.37;43.3;Organic Farming;378.54
2020;USA;West;Fruits;17.74;419.63;25.35;2.205;10;45.91;26.62;42.66;40.1;Organic Farming;505.91
2016;China;Central;Rice;22.01;2740.6;7.59;3.68;4;93.79;43.34;29.05;30.71;Drought-resistant Crops;501.88
2020;China;North;Vegetables;17.9;1863.65;9.49;4.94;9;99.48;16.66;87.74;62.42;Organic Farming;1097.1
2014;USA;Midwest;Barley;7.74;1710.33;17.25;0.5760000000000001;7;79.74;9.74;43.21;39.35;Water Management;192.06
2016;USA;South;Cotton;8.95;1774.36;0.76;1.92;4;55.76;4.9;75.09;62.06;Drought-resistant Crops;946.46
2016;Brazil;North;Corn;6.46;1370.33;27.77;1.845;10;68.13;2.07;7.38;39.33;No Adaptation;500.42
2018;Russia;Siberian;Corn;13.66;848.46;12.17;4.99;8;93.6;9.48;21.9;59.16;Drought-resistant Crops;1462.62
2022;Australia;Western Australia;Wheat;4.27;1077.63;5.07;0.95;9;56.0;41.62;13.52;57.34;Drought-resistant Crops;269.21
2022;Brazil;Northeast;Barley;0.69;2963.56;29.39;1.26;9;23.08;36.68;91.94;63.96;No Adaptation;134.4
2014;China;North;Fruits;14.65;2143.88;1.06;2.47;2;61.92;28.69;9.29;70.82;No Adaptation;728.46
2016;Australia;Victoria;Corn;-0.27;2838.2;12.44;1.43;10;71.81;33.4;43.41;89.36;Crop Rotation;198.85
2024;Australia;Queensland;Soybeans;20.22;2998.47;12.81;3.21;1;30.4;44.99;84.77;64.11;Drought-resistant Crops;837.41
2016;Nigeria;South East;Wheat;28.54;1801.23;2.67;2.13;2;38.2;22.81;6.13;52.66;No Adaptation;264.14
2022;Brazil;North;Rice;10.37;539.92;0.85;3.21;6;37.46;37.16;10.14;98.29;Drought-resistant Crops;876.84
2014;Australia;Victoria;Wheat;20.23;1578.95;4.73;2.02;0;65.41;17.47;21.83;75.29;No Adaptation;769.86
2020;China;East;Wheat;32.28;298.17;12.96;2.556;7;65.98;37.45;57.33;66.74;Organic Farming;1137.55
2022;Nigeria;South East;Cotton;0.07;2892.14;17.31;0.6120000000000001;4;82.47;16.37;12.17;68.0;Drought-resistant Crops;205.08
2022;Australia;Victoria;Wheat;13.99;2473.53;26.9;2.385;1;42.14;0.95;60.82;39.55;Organic Farming;250.93
2014;China;South;Coffee;0.28;1547.72;10.25;2.76;10;64.27;43.66;15.93;75.36;No Adaptation;1114.88
2022;Australia;Victoria;Corn;-3.4;1652.81;25.75;1.791;0;55.33;6.97;72.53;48.37;No Adaptation;836.18
2024;Nigeria;South East;Vegetables;-4.06;1174.19;6.43;1.22;7;71.74;3.29;59.39;40.45;No Adaptation;266.24
2016;Nigeria;South West;Corn;33.74;2251.09;29.66;1.017;2;50.45;11.55;33.71;30.84;Water Management;206.05
2016;Nigeria;North Central;Fruits;28.65;2348.9;4.94;1.21;6;95.47;23.81;55.86;69.16;No Adaptation;596.97
2020;Russia;Siberian;Barley;-2.97;947.32;26.15;2.6910000000000003;9;21.91;44.49;7.51;85.94;Organic Farming;577.38
2020;China;Central;Fruits;10.68;1403.68;11.05;4.82;6;33.83;2.23;83.76;78.45;Crop Rotation;1035.54
2020;Russia;Central;Rice;17.35;236.06;8.32;2.619;6;10.57;39.66;73.38;85.85;Organic Farming;421.0
2024;China;North;Sugarcane;-4.04;909.43;3.46;1.71;8;25.43;25.66;37.87;63.48;Water Management;347.53
2024;Nigeria;South East;Rice;-2.55;1906.34;12.95;1.61;6;40.92;38.52;69.34;84.86;Drought-resistant Crops;357.69
2014;Brazil;Northeast;Rice;12.75;1168.22;1.33;4.42;5;32.24;13.06;83.76;62.28;Drought-resistant Crops;2169.98
2022;Australia;Queensland;Wheat;31.78;1165.89;0.9;2.91;9;14.11;31.07;35.96;93.57;Drought-resistant Crops;1111.77
2016;Nigeria;South West;Vegetables;5.38;269.88;8.11;2.7;10;46.62;41.17;92.92;42.24;Organic Farming;1172.76
2014;Russia;Northwestern;Coffee;14.49;1884.53;8.0;2.73;5;73.07;19.92;54.16;87.07;Drought-resistant Crops;798.53
2020;Australia;Victoria;Vegetables;7.5;2313.43;21.11;0.81;8;80.27;45.49;39.55;65.35;Drought-resistant Crops;195.99
2014;Australia;Queensland;Fruits;30.71;1940.83;10.41;2.69;6;25.59;36.75;15.4;97.15;Organic Farming;509.52
2018;Nigeria;North West;Fruits;0.13;2621.58;17.75;2.2680000000000002;2;32.43;24.78;9.0;51.31;Organic Farming;718.85
2018;Nigeria;North Central;Corn;33.58;1025.63;11.84;3.96;1;79.18;48.22;87.24;99.32;No Adaptation;1706.82
2024;Russia;Volga;Fruits;9.59;961.12;0.86;1.32;10;75.73;28.71;88.18;49.95;Drought-resistant Crops;506.49
2020;Brazil;Southeast;Wheat;4.12;2763.39;26.48;531;5;12.09;24.35;11.83;66.05;Crop Rotation;133.12
2024;USA;West;Coffee;24.31;651.75;10.69;3.46;10;99.91;45.07;98.17;38.74;Drought-resistant Crops;584.43
2016;Australia;New South Wales;Coffee;27.7;1310.81;4.79;1.22;2;76.36;32.73;50.07;38.74;No Adaptation;548.86
2022;Nigeria;South West;Wheat;34.69;837.61;11.34;2.75;10;17.69;39.7;55.85;90.41;Organic Farming;1339.76
2016;Russia;Northwestern;Wheat;21.17;1573.55;4.77;2.78;1;78.29;31.5;98.37;67.5;Crop Rotation;986.06
2020;Australia;Queensland;Soybeans;24.58;1153.19;12.58;3.93;6;89.65;7.52;80.84;57.72;No Adaptation;1492.98
2016;Brazil;Northeast;Vegetables;3.56;785.72;22.35;2.295;10;89.97;15.33;32.74;59.68;No Adaptation;804.43
2022;Australia;New South Wales;Barley;-0.03;330.32;16.18;1.764;3;28.61;33.56;30.62;97.37;Water Management;463.49
2024;USA;West;Sugarcane;27.01;2191.06;10.15;1.19;4;34.65;48.95;14.25;53.45;Organic Farming;527.61
2016;Brazil;South;Soybeans;16.78;1645.28;4.4;2.57;5;52.91;36.27;82.25;94.2;Crop Rotation;327.59
2022;Australia;New South Wales;Cotton;0.34;784.24;8.14;1.94;3;86.57;19.6;78.32;33.81;Drought-resistant Crops;294.44
2020;China;Central;Soybeans;3.89;2513.37;14.34;2.43;6;22.97;21.88;3.35;40.03;No Adaptation;585.01
2020;Brazil;South;Corn;27.49;2268.03;17.71;1.314;1;86.78;30.03;27.25;34.05;Drought-resistant Crops;304.85
2014;Nigeria;South East;Cotton;11.77;746.72;2.68;2.52;8;60.55;23.42;28.02;55.66;Drought-resistant Crops;828.5
2024;USA;South;Cotton;12.76;914.81;26.52;1.611;2;13.22;11.16;34.47;60.91;Water Management;392.21
2018;USA;Northeast;Rice;23.38;1120.79;3.38;3.78;0;98.95;7.44;87.75;39.16;No Adaptation;1019.05
2024;USA;Northeast;Sugarcane;28.85;1736.93;10.56;3.08;4;14.57;15.54;67.41;96.2;Water Management;1334.75
2022;Australia;New South Wales;Cotton;13.8;1797.31;29.58;4.41;1;87.84;13.26;46.7;47.93;Crop Rotation;1126.42
2024;Russia;Central;Soybeans;10.15;1113.45;11.82;1.94;5;37.11;21.05;60.86;77.25;Organic Farming;706.64
2014;China;Central;Rice;28.15;1823.08;14.83;1.86;5;52.61;39.83;46.02;30.77;Water Management;677.2
2014;Australia;Victoria;Soybeans;8.97;2542.62;10.05;2.72;7;27.43;1.79;56.31;97.3;Drought-resistant Crops;1181.85
2024;USA;South;Corn;8.89;2323.33;20.52;2.205;1;95.23;0.35;98.67;50.16;Drought-resistant Crops;310.93
2016;Brazil;North;Corn;24.88;1195.05;12.67;3.44;0;94.59;30.63;32.64;65.28;Water Management;1109.56
2016;China;North;Cotton;3.78;2743.78;11.78;1.3;6;95.17;2.25;1.18;94.25;Crop Rotation;285.57
2014;Nigeria;North West;Sugarcane;25.14;311.71;22.4;1.611;5;67.93;4.19;77.71;56.1;Crop Rotation;501.86
2018;Russia;Northwestern;Barley;22.05;2073.63;17.94;1.566;0;56.67;10.71;36.95;34.74;No Adaptation;499.35
2022;Nigeria;South East;Soybeans;15.91;203.78;14.18;2.9699999999999998;10;71.71;2.07;13.05;99.61;Organic Farming;937.89
2016;China;South;Sugarcane;-1.16;2597.17;3.57;0.74;8;39.64;41.26;79.13;49.93;Crop Rotation;273.01
2024;China;North;Rice;-2.02;2057.49;8.79;2.18;1;24.77;41.35;17.87;86.32;No Adaptation;432.64
2020;Nigeria;South West;Corn;18.25;2637.61;14.39;2.51;1;48.65;11.14;10.16;74.36;No Adaptation;905.3
2024;USA;Midwest;Coffee;20.71;1713.58;24.46;2.817;3;60.58;42.46;33.26;70.2;Organic Farming;1338.58
2016;Russia;Siberian;Vegetables;16.07;1457.56;20.96;2.034;7;96.49;7.47;95.84;34.96;No Adaptation;470.34
2024;Nigeria;North Central;Rice;12.82;940.32;24.64;2.547;3;54.49;20.61;8.02;65.65;Drought-resistant Crops;508.45
2018;Australia;Queensland;Sugarcane;0.01;2566.96;4.87;1.43;10;79.08;1.34;12.88;82.3;Crop Rotation;284.52
2016;Brazil;Southeast;Cotton;6.42;572.28;9.91;2.1;6;45.78;42.85;66.37;42.92;Crop Rotation;412.09
2016;Russia;Volga;Soybeans;2.28;1678.37;24.86;2.394;3;66.77;27.07;85.5;43.55;Water Management;703.08
2016;Russia;Siberian;Soybeans;23.38;1923.78;25.0;1.8;6;42.86;7.81;95.91;36.64;No Adaptation;741.82
2018;China;East;Vegetables;3.59;2160.69;25.43;2.385;4;80.44;34.66;16.62;43.42;Organic Farming;286.56
2020;Nigeria;South West;Sugarcane;28.91;2888.38;1.42;1.32;8;59.65;11.21;67.04;49.4;Drought-resistant Crops;443.27
2020;Australia;Western Australia;Cotton;-2.39;1299.45;17.32;2.196;3;81.24;34.96;88.04;54.94;Drought-resistant Crops;363.57
2018;Russia;Volga;Cotton;0.3;2977.11;0.75;1.83;5;74.52;39.98;54.53;69.04;Water Management;254.94
2018;Australia;Queensland;Coffee;34.5;1521.65;14.66;0.83;3;71.56;17.58;89.66;52.13;Water Management;163.53
2022;USA;Northeast;Corn;30.05;2654.69;3.93;1.54;1;25.16;39.92;80.34;32.88;Crop Rotation;301.8
2020;Brazil;South;Soybeans;14.74;1324.22;9.12;3.54;0;26.93;38.53;13.29;44.91;Water Management;1736.74
2024;China;North;Fruits;34.64;2647.19;4.52;2.79;7;47.16;47.34;8.13;73.53;Organic Farming;993.43
2020;Brazil;Southeast;Rice;17.54;708.55;8.74;5.0;9;37.39;21.04;63.84;36.86;Water Management;1497.7
2022;China;Central;Vegetables;9.91;2112.26;16.91;1.899;2;93.16;3.53;30.83;76.17;Water Management;470.83
2014;Australia;Queensland;Rice;27.85;2947.64;13.44;3.31;3;50.5;42.52;94.41;48.55;Crop Rotation;1152.28
2022;Nigeria;South West;Barley;28.63;1178.85;5.81;3.15;7;89.56;27.84;73.53;99.86;Crop Rotation;1312.51
2022;USA;Northeast;Sugarcane;27.64;542.79;15.97;1.449;9;48.78;5.51;50.82;61.35;Drought-resistant Crops;393.46
2016;Nigeria;North Central;Soybeans;12.85;356.53;16.87;2.79;6;86.03;33.06;52.28;66.54;No Adaptation;1368.26
2020;Brazil;Northeast;Sugarcane;4.07;1688.35;14.38;1.61;1;26.01;37.66;73.95;37.12;Crop Rotation;752.58
2018;China;Central;Cotton;15.55;2023.72;6.92;3.63;7;82.71;37.55;68.62;34.38;Drought-resistant Crops;1443.68
2020;Australia;Victoria;Coffee;24.15;1958.91;7.98;3.72;6;64.64;14.13;73.9;97.36;Organic Farming;887.16
2016;Russia;Volga;Wheat;22.86;2092.03;23.24;2.61;3;96.75;46.62;26.07;92.01;No Adaptation;816.86
2014;China;North;Coffee;26.57;539.27;7.69;2.82;3;38.99;44.68;30.89;53.86;Crop Rotation;862.49
2016;USA;Northeast;Sugarcane;24.58;1067.86;15.6;2.709;8;53.82;31.12;75.01;46.0;Crop Rotation;1291.31
2018;Russia;Northwestern;Wheat;31.25;2722.72;20.06;864;0;13.56;3.59;40.0;41.27;Water Management;377.08
2016;China;East;Barley;-3.44;2997.57;20.18;1.197;6;99.98;30.65;87.87;55.42;Drought-resistant Crops;181.28
